NUMERO, CONTRATO, PRECIONUMERO, ESAMOBLADO
 0,0,2177052,0
 1,1,5086057,0
 2,2,816806,1
 3,3,3755758,1
 4,4,5980906,0
 5,5,2305600,1
 6,6,2538009,1
 7,7,1085554,1
 8,8,1888865,0
 9,9,1002410,0
 10,10,4829288,1
 11,11,4589507,0
 12,12,308153,1
 13,13,1963967,0
 14,14,666866,1
 15,15,6971873,1
 16,16,6889242,0
 17,17,4042911,1
 18,18,739175,0
 19,19,4289760,1
 20,20,1775441,0
 21,21,1485418,1
 22,22,5050948,1
 23,23,532571,0
 24,24,5937204,0
 25,25,471102,1
 26,26,4862273,0
 27,27,877622,1
 28,28,2155219,0
 29,29,880764,1
 30,30,2578465,0
 31,31,597973,0
 32,32,4269121,0
 33,33,6997479,0
 34,34,2435919,1
 35,35,2449471,0
 36,36,364163,1
 37,37,5479931,0
 38,38,2136737,1
 39,39,2539890,1
 40,40,6394138,0
 41,41,5573622,0
 42,42,6480961,1
 43,43,4423961,1
 44,44,3750336,1
 45,45,393926,1
 46,46,1848140,0
 47,47,5345157,0
 48,48,2243454,1
 49,49,3227617,0
 50,50,4466617,1
 51,51,4614282,0
 52,52,2191553,0
 53,53,4236189,1
 54,54,557158,0
 55,55,1419933,0
 56,56,1889038,1
 57,57,649393,1
 58,58,2313756,1
 59,59,4352618,0
 60,60,5138950,1
 61,61,840768,0
 62,62,3581378,1
 63,63,3650287,0
 64,64,4451743,1
 65,65,6674138,1
 66,66,3077460,1
 67,67,5345406,0
 68,68,3728551,1
 69,69,1156122,1
 70,70,6312316,0
 71,71,3281824,1
 72,72,4146502,0
 73,73,4327042,0
 74,74,1232301,1
 75,75,3218105,1
 76,76,2514490,1
 77,77,1782601,0
 78,78,2691924,1
 79,79,5173089,0
 80,80,2537822,1
 81,81,6041299,0
 82,82,3002210,0
 83,83,316673,0
 84,84,518456,1
 85,85,1300360,1
 86,86,3243363,0
 87,87,134016,0
 88,88,2908877,0
 89,89,2103395,0
 90,90,5601398,1
 91,91,994311,0
 92,92,742390,0
 93,93,4300018,1
 94,94,216219,0
 95,95,3733200,1
 96,96,3795807,0
 97,97,3044242,1
 98,98,6099309,1
 99,99,5952685,0
 100,100,5975110,1
 101,101,5326076,0
 102,102,2767693,0
 103,103,1953883,1
 104,104,5739948,1
 105,105,2793777,1
 106,106,2449799,1
 107,107,6002993,1
 108,108,5368560,1
 109,109,5015586,1
 110,110,3892254,1
 111,111,2205715,0
 112,112,3474195,0
 113,113,1593563,0
 114,114,6949134,0
 115,115,2362452,1
 116,116,6521466,1
 117,117,6192916,1
 118,118,2996483,1
 119,119,683083,1
 120,120,1377896,0
 121,121,1247685,1
 122,122,5815121,1
 123,123,5002976,0
 124,124,5694791,0
 125,125,1664153,1
 126,126,241854,0
 127,127,4831554,0
 128,128,5102875,1
 129,129,6276504,0
 130,130,2227334,0
 131,131,3325099,0
 132,132,4198856,0
 133,133,3791236,0
 134,134,5586306,0
 135,135,384810,0
 136,136,2737990,1
 137,137,2738246,1
 138,138,4997062,0
 139,139,3432786,1
 140,140,5322557,1
 141,141,100675,0
 142,142,3174461,0
 143,143,1631329,0
 144,144,3950477,0
 145,145,3348582,1
 146,146,686270,0
 147,147,91660,0
 148,148,6727404,0
 149,149,5033260,1
 150,150,5107506,0
 151,151,150276,1
 152,152,544620,1
 153,153,3296279,0
 154,154,2590061,0
 155,155,6077191,0
 156,156,3139095,0
 157,157,6739238,0
 158,158,3193539,1
 159,159,2757345,0
 160,160,6000473,0
 161,161,5268287,1
 162,162,4316845,0
 163,163,5871636,1
 164,164,1771175,1
 165,165,2444197,0
 166,166,934753,1
 167,167,6079562,1
 168,168,6230638,0
 169,169,5983372,0
 170,170,6282871,0
 171,171,3197547,0
 172,172,1178267,0
 173,173,1026507,1
 174,174,4577291,1
 175,175,3316409,1
 176,176,4339136,1
 177,177,6891475,0
 178,178,2291746,0
 179,179,736997,0
 180,180,2587059,0
 181,181,6393251,1
 182,182,983330,1
 183,183,347464,0
 184,184,3841728,0
 185,185,2047896,0
 186,186,1257450,1
 187,187,3230420,1
 188,188,3095044,0
 189,189,2966676,1
 190,190,4490635,1
 191,191,4232690,1
 192,192,549788,1
 193,193,3365653,0
 194,194,3238933,1
 195,195,5856322,1
 196,196,4096311,1
 197,197,1338251,0
 198,198,4319932,1
 199,199,2838196,1
 200,200,1101949,0
 201,201,6805318,1
 202,202,2912545,0
 203,203,5397345,0
 204,204,6446090,1
 205,205,4315122,0
 206,206,143144,1
 207,207,5785916,0
 208,208,5690488,1
 209,209,1262503,1
 210,210,6033015,1
 211,211,6642856,1
 212,212,1995934,1
 213,213,6309401,0
 214,214,367670,0
 215,215,3244468,1
 216,216,6582170,0
 217,217,1918845,1
 218,218,2326157,0
 219,219,5914816,1
 220,220,4818063,0
 221,221,2815992,1
 222,222,415288,0
 223,223,3405378,1
 224,224,2705090,1
 225,225,2321794,1
 226,226,4903139,1
 227,227,5113283,0
 228,228,1226748,0
 229,229,186992,1
 230,230,4668926,0
 231,231,6470009,1
 232,232,2638004,1
 233,233,3282837,0
 234,234,619607,0
 235,235,1265712,1
 236,236,4610055,0
 237,237,4794701,1
 238,238,6101113,1
 239,239,1000038,1
 240,240,5770273,1
 241,241,1863438,0
