ID, NOMBRE, REGISTROCAMARACOMERCIO, TIENESALAESTUDIO, TIENESALAESPARCIMIENTO, TIENEGIMNASIO, TIENERESTAURANTE 
auctor Proin aliquam,16616 South Bermuda Blvd.,1,1,0,1,0,0
 rhoncus augue Pellentesque,82181 North Cameroon Ln.,2,2,1,0,1,0
 sapien placerat rutrum,49371 East Hazleton Way,3,3,0,0,0,1
 porttitor ultricies Donec,4131 North East St. Louis Ct.,4,4,0,1,0,1
 nascetur sapien molestie,42876 South Italy Way,5,5,1,0,0,1
 ridiculus Donec adipiscing,39630 East Mesquite Ln.,6,6,0,1,1,1
 Duis convallis Maecenas,49134 East Solomon Islands Blvd.,7,7,0,0,0,0
 congue per inceptos,51785 North Falkland Islands Malvinas Ave.,8,8,0,0,0,1
 vel Curae eget,56686 East Nigeria Ct.,9,9,1,0,1,1
 et Fusce felis,13795 South Viet Nam Ln.,10,10,0,0,1,0
 Donec Donec scelerisque,46852 South East Hartford St.,11,11,0,0,0,0
 semper faucibus laoreet,42622 South Somalia Way,12,12,0,1,0,0
 hymenaeos Quisque ornare,48633 North Comoros St.,13,13,1,1,1,0
 nonummy Maecenas nec,11062 West Albania Way,14,14,0,1,0,0
 euismod blandit tincidunt,52037  Benin Ct.,15,15,1,1,1,1
 placerat felis pulvinar,45614 West Benin Ln.,16,16,0,1,1,0
 nonummy sagittis venenatis,49926  United States Minor Outlying Islands Way,17,17,0,0,1,0
 vehicula id mollis,32904 East Christmas Island Ln.,18,18,1,0,1,0
 dapibus gravida condimentum,30178 North Germany Way,19,19,1,0,1,1
 magna tortor tortor,16767 North Avalon Ct.,20,20,0,0,1,1
 blandit Integer metus,56389  Gardena Way,21,21,0,1,1,0
 conubia ipsum scelerisque,55350 North Cedar Rapids Ct.,22,22,1,1,0,1
 eu scelerisque convallis,38958 North Chad Way,23,23,0,0,0,1
 non Nulla lacus,90238 East South Africa Ct.,24,24,0,1,1,0
 Nam Nam consectetuer,28383 South Japan Way,25,25,1,1,0,0
 et tortor Cum,81837 East Martinique Ave.,26,26,1,1,1,0
 nostra mus accumsan,47304 North Blythe St.,27,27,1,0,0,0
 at mi taciti,59758 West Marshall Islands Ave.,28,28,0,1,0,0
 pretium porttitor Class,9535 West Sierra Leone Ct.,29,29,0,0,0,1
 ultricies sit Mauris,65871 North Guayama St.,30,30,1,1,1,0
 erat arcu Morbi,91554 West Branson Way,31,31,0,0,0,1
 nascetur non Quisque,18551 East Clearwater Ct.,32,32,1,0,1,1
 eleifend lacinia Sed,94182 West British Indian Ocean Territory Ln.,33,33,0,1,1,1
 facilisi non lacinia,7299  Ephraim Ln.,34,34,0,0,0,0
 tortor dapibus fringilla,16319 South Slovenia Way,35,35,0,0,1,1
 natoque Etiam fames,83991  Ethiopia Ln.,36,36,1,0,1,1
 Proin iaculis massa,77789 East Cape Verde St.,37,37,1,0,0,0
 aptent feugiat sapien,40804 West Colombia Way,38,38,1,0,0,0
 ante erat urna,95529 East Ghana Ln.,39,39,1,1,1,1
 cubilia Nam magna,80024 East Congo Ct.,40,40,1,1,1,1
 pellentesque massa fames,58574 North Gabon Ct.,41,41,1,1,1,0
 lobortis bibendum tortor,98884 South Liechtenstein Way,42,42,1,1,0,1
 justo libero ante,11581  Fort Smith Ct.,43,43,1,0,0,1
 Phasellus quam Mauris,35217 East Marshall Ln.,44,44,0,0,0,1
 placerat enim vel,42419 East American Samoa Ct.,45,45,0,1,1,0
 aliquam sem primis,26045 West Dominica Way,46,46,0,1,1,1
 scelerisque ullamcorper pellentesque,35192 South Olean Blvd.,47,47,1,1,0,1
 Nullam condimentum sollicitudin,956 North Dayton Ave.,48,48,0,0,0,0
 sollicitudin sem lacus,11198  Garden Grove Way,49,49,1,0,1,0
 arcu consequat tincidunt,64657  Brunei Darussalam Ln.,50,50,0,0,1,1
 mollis a mauris,62234 North Zimbabwe St.,51,51,1,0,0,0
 Vivamus ridiculus montes,68302 South Green Bay Ave.,52,52,0,0,0,0
 Phasellus ullamcorper Phasellus,80424 North Chad St.,53,53,1,0,0,1
 In pharetra leo,61997 West Algeria Ln.,54,54,1,1,0,1
 neque velit adipiscing,36548 West Uganda Ln.,55,55,1,0,0,1
 ultricies tellus nonummy,12813 North Albania St.,56,56,0,1,1,0
 Nullam tellus auctor,27550  Jamaica Ave.,57,57,1,0,1,0
 montes placerat vestibulum,42540 West Montserrat St.,58,58,1,0,0,1
 iaculis cursus pharetra,99147 North New Haven St.,59,59,1,0,0,0
 mi ipsum risus,66696 East Indonesia Ave.,60,60,0,1,0,1
 nibh nibh habitant,83991  Belgium Ct.,61,61,0,0,1,1
 malesuada conubia Class,65666 North Guinea Ave.,62,62,1,1,1,0
 elit eu vitae,34778  Ansonia Blvd.,63,63,1,0,1,1
 mi Proin tellus,82132 West Bhutan Way,64,64,1,0,0,1
 scelerisque quis luctus,72674 North Trinidad and Tobago Blvd.,65,65,1,1,1,1
 eleifend Maecenas velit,4908 East Antigua and Barbuda Ct.,66,66,1,0,0,1
 imperdiet id mattis,44292  New Caledonia Ct.,67,67,0,0,0,1
 velit justo auctor,15224 South Kenya Way,68,68,0,0,1,1
 sagittis tellus at,67079 West Crown Point Ln.,69,69,0,1,1,1
 libero massa sem,34672  British Indian Ocean Territory Ct.,70,70,1,0,1,1
 porttitor velit elit,14033 East Corvallis Blvd.,71,71,1,0,0,1
 libero aliquam facilisi,84844 East Nashua Ct.,72,72,0,1,0,0
 Nam vestibulum Etiam,24001 South China St.,73,73,0,1,0,1
 magnis dapibus Cum,35731 East Elsmere Way,74,74,1,0,1,0
 convallis in sit,19902 South Yemen Ave.,75,75,1,1,1,0
 tortor ullamcorper vitae,25362 North Germany Ave.,76,76,0,1,1,0
 Curae Curae tempus,44266 South Cameroon Blvd.,77,77,1,1,0,0
 bibendum blandit non,30079 South British Indian Ocean Territory Ct.,78,78,1,0,0,1
