IDOPERADOR, GANANCIA 
1,502124154
 2,460290176
 3,446564328
 4,32344813
 5,206472840
 6,531244749
 7,12040623
 8,113584892
 9,57104074
 10,292415537
 11,200876498
 12,483531795
 13,457894804
 14,204187473
 15,171689322
 16,8289175
 17,107841990
 18,304676361
 19,267266401
 20,233798764
 21,470650152
 22,332248933
 23,117134950
 24,124201228
 25,403773223
 26,332380922
 27,147364208
 28,286436443
 29,167139844
 30,434979068
 31,439128197
 32,332801504
 33,129307624
 34,414172220
 35,31520183
 36,185117855
 37,549082673
 38,519658687
 39,165658206
 40,509546022
 41,39464619
 42,4086091
 43,331487241
 44,456135457
 45,60109464
 46,202885553
 47,267879612
 48,398640614
 49,355014651
 50,53191298
 51,447288987
 52,621374
 53,414455570
 54,339472730
 55,187017888
 56,419411348
 57,418943695
 58,541660367
 59,76782574
 60,257173043
 61,559056045
 62,52361828
 63,385983933
 64,245028584
 65,471743962
 66,400241249
 67,344123537
 68,310298495
 69,480514099
 70,213670033
 71,470726450
 72,498618338
 73,711082
 74,115957860
 75,127442747
 76,103914910
 77,49343301
 78,261078876
 79,318718603
 80,243743038
 81,262708963
 82,174407557
 83,295009466
 84,352180410
 85,496105747
 86,215566303
 87,158925062
 88,239549564
 89,489205153
 90,463072184
 91,410676200
 92,431697555
 93,206551700
 94,278816411
 95,389622991
 96,494467714
 97,47783892
 98,270456248
 99,196733258
 100,419034284
 101,121623097
 102,136896711
 103,423129110
 104,35479423
 105,388552211
 106,1866984
 107,537786266
 108,426291852
 109,464225858
 110,148455350
 111,73500841
 112,252932077
 113,320457535
 114,77426442
 115,76904473
 116,197533205
 117,513997855
 118,73080980
 119,105834020
 120,336509285
 121,264362684
 122,202599318
 123,94324862
 124,450526712
 125,466576392
 126,137335506
 127,196664224
 128,146597517
 129,426644739
 130,211304159
 131,557817034
 132,91888515
 133,78685950
 134,259889019
 135,96433869
 136,524374820
 137,126298896
 138,146091194
 139,488973279
 140,395668624
 141,546556859
 142,47233097
 143,556887486
 144,347845366
 145,192743198
 146,136731881
 147,313991252
 148,86236597
 149,326390943
 150,233100536
 151,97011452
 152,285445262
 153,320055014
 154,435487439
 155,528894132
 156,45236364
 157,369114413
 158,50028747
 159,207108778
 160,12438703
 161,538006812
 162,127474549
 163,315527093
 164,398078395
 165,5262240
 166,94486387
 167,184664828
 168,172239323
 169,379297874
 170,248021779
 171,170576792
 172,163418018
 173,177116774
 174,474106558
 175,439134662
 176,24770157
 177,386866409
 178,394589078
 179,325162894
 180,390774530
 181,68424044
 182,138986317
 183,391767344
 184,406692767
 185,397218585
 186,138502665
 187,7841247
 188,194831959
 189,127068266
 190,110390888
 191,161840751
 192,224768679
 193,505823568
 194,14543454
 195,88872105
 196,74444430
 197,431806883
 198,421995806
 199,428717408
 200,433157292
 201,511425899
 202,343530571
 203,66021168
 204,318899266
 205,444483743
 206,139010285
 207,502659893
 208,7699582
 209,63526239
 210,187292572
 211,456615486
 212,364013798
 213,398675301
 214,344805555
 215,460328470
 216,425168478
 217,210853022
 218,185162948
 219,248183870
 220,225188606
 221,417405890
 222,148593102
 223,222602119
 224,67498537
 225,262529824
 226,286686309
 227,56187613
 228,525125754
 229,552065967
 230,480840514
 231,348542498
 232,9767025
 233,405602354
 234,383553504
 235,345892477
 236,338356974
 237,230945834
 238,47694267
 239,242976683
 240,424113663
 241,335019603
 242,154767307
 243,176784382
 244,124243103
 245,482232494
 246,92598198
 247,282813013
 248,543519127
 249,248151755
 250,462626583
 251,327400695
 252,369895819
 253,432314035
 254,72637909
 255,7994116
 256,396054740
 257,414113781
 258,165276694
 259,14850831
 260,125635320
 261,218767961
 262,423787050
 263,402181878
 264,350536324
 265,130898736
 266,359875295
 267,353521119
 268,245269271
 269,484680017
 270,497590742
 271,14804683
 272,313965159
 273,108699917
 274,522137742
 275,301972076
 276,502336293
 277,307097577
 278,163937718
 279,78931840
 280,385329120
 281,59876003
 282,256928694
 283,206325567
 284,94879034
 285,290305567
 286,119590313
 287,538256662
 288,140491050
 289,310874011
 290,473684313
 291,446163984
 292,559077704
 293,35803525
 294,339901886
 295,351025367
 296,415288382
 297,279640725
 298,108438868
 299,515898964
 300,148857415
 301,530144309
 302,176251950
 303,135148860
 304,184676688
 305,371239196
 306,261800890
 307,504042523
 308,360603430
 309,509279815
 310,281800425
 311,447776773
 312,219588397
 313,551240996
 314,203594364
 315,187096730
 316,78700772
 317,315928000
 318,472997350
 319,123486600
 320,16618238
 321,150490674
 322,16361925
 323,56130899
 324,309241588
 325,107266540
 326,501421625
 327,319034888
 328,233156668
 329,333675682
 330,332919149
 331,402977813
 332,297957589
 333,395310439
 334,426567694
 335,496834543
 336,337153042
 337,287673389
 338,437207985
 339,404153576
 340,21751214
 341,186791318
 342,122284619
 343,118482899
 344,143666329
 345,190557646
 346,106440139
 347,418746761
 348,157926355
