PRECIO,CAPACIDAD,UBICACION,TAMANIO,NUMERO
1627850,2,ultimo piso,161,0
3509353,2,piso intermedio,75,1
6502075,4,primer piso,186,2
480197,3,piso intermedio,192,3
2543775,4,primer piso,87,4
2805126,2,primer piso,141,5
4478691,3,piso intermedio,154,6
3296140,1,primer piso,170,7
6302150,3,ultimo piso,195,8
1675492,3,piso intermedio,80,9
2621501,3,piso intermedio,123,10
1773531,3,piso intermedio,104,11
6183547,4,piso intermedio,197,12
1263207,2,primer piso,77,13
3689102,3,ultimo piso,164,14
1332975,4,piso intermedio,87,15
2082550,1,piso intermedio,130,16
5455573,3,primer piso,99,17
4243787,2,piso intermedio,158,18
3839859,2,piso intermedio,103,19
4989454,1,primer piso,189,20
4445358,1,piso intermedio,178,21
3874383,1,ultimo piso,198,22
6362009,4,piso intermedio,180,23
2868140,2,primer piso,92,24
1240941,3,primer piso,100,25
6382177,3,piso intermedio,87,26
5433135,1,ultimo piso,95,27
6260176,4,primer piso,153,28
3626411,2,ultimo piso,77,29
2814587,3,ultimo piso,120,30
5256271,3,primer piso,113,31
328648,1,ultimo piso,92,32
4562030,1,primer piso,149,33
1188226,4,piso intermedio,76,34
1093336,4,primer piso,80,35
3593028,2,primer piso,171,36
765520,3,primer piso,89,37
6129959,3,ultimo piso,151,38
3486690,1,piso intermedio,171,39
1279115,4,piso intermedio,130,40
6845174,2,primer piso,103,41
391226,2,ultimo piso,149,42
6324580,1,ultimo piso,158,43
4119925,1,piso intermedio,182,44
3841244,3,ultimo piso,144,45
974381,2,piso intermedio,148,46
6575617,3,ultimo piso,148,47
720680,3,ultimo piso,110,48
1850174,1,primer piso,97,49
727625,4,primer piso,133,50
1072416,4,primer piso,178,51
1681592,4,piso intermedio,80,52
5700508,4,piso intermedio,89,53
4717272,3,primer piso,115,54
5870470,2,piso intermedio,90,55
3371432,1,piso intermedio,120,56
6682210,1,ultimo piso,74,57
1353730,4,primer piso,158,58
6417653,2,ultimo piso,180,59
457190,1,primer piso,106,60
2290350,3,primer piso,176,61
669360,1,piso intermedio,147,62
5785764,2,ultimo piso,125,63
3631659,3,piso intermedio,177,64
3366710,2,piso intermedio,142,65
5758839,1,primer piso,75,66
6108515,1,primer piso,152,67
6004292,3,piso intermedio,176,68
279468,3,piso intermedio,167,69
2220955,1,ultimo piso,98,70
798995,2,primer piso,107,71
1344587,3,primer piso,133,72
2244071,4,piso intermedio,124,73
2316138,3,piso intermedio,73,74
5434666,4,piso intermedio,184,75
3758801,4,piso intermedio,98,76
6212211,3,piso intermedio,76,77
1895060,4,ultimo piso,140,78
888043,3,piso intermedio,78,79
4479413,1,piso intermedio,161,80
6119611,4,primer piso,170,81
3810030,1,piso intermedio,149,82
6402208,3,ultimo piso,134,83
6260447,3,ultimo piso,134,84
1832442,3,primer piso,133,85
2304537,2,primer piso,137,86
3373922,3,piso intermedio,170,87
2209392,3,ultimo piso,89,88
4097978,4,ultimo piso,79,89
3467925,3,primer piso,91,90
3558136,4,primer piso,157,91
305899,3,piso intermedio,185,92
4151223,4,ultimo piso,92,93
3914325,2,ultimo piso,128,94
4344971,2,piso intermedio,121,95
2138747,3,ultimo piso,199,96
2712720,2,ultimo piso,80,97
347208,2,ultimo piso,117,98
5598783,1,ultimo piso,160,99
6319992,1,piso intermedio,105,100
5454543,3,ultimo piso,120,101
3079003,2,primer piso,148,102
4827655,1,piso intermedio,142,103
4055118,4,ultimo piso,70,104
6301436,1,piso intermedio,106,105
3350233,3,ultimo piso,72,106
2332963,3,ultimo piso,140,107
1326904,1,ultimo piso,71,108
2940963,1,primer piso,115,109
1622509,2,ultimo piso,72,110
5030153,1,ultimo piso,111,111
467298,2,piso intermedio,179,112
2075266,3,ultimo piso,124,113
3512352,3,piso intermedio,137,114
3645978,1,ultimo piso,149,115
802691,3,piso intermedio,200,116
274397,1,ultimo piso,194,117
5162643,3,ultimo piso,106,118
6696579,1,ultimo piso,151,119
1402277,2,primer piso,71,120
1772848,3,piso intermedio,177,121
5227567,4,ultimo piso,147,122
5984546,2,ultimo piso,192,123
1286320,2,piso intermedio,76,124
830645,4,piso intermedio,116,125
1065750,3,primer piso,188,126
5605190,2,ultimo piso,125,127
