NUMERO,INDIVIDUAL,DURACION,MENAJE
0,0,19,1
1,0,124,0
2,0,111,1
3,1,2,0
4,1,105,1
5,1,110,1
6,0,50,0
7,1,15,0
8,0,124,1
9,1,178,0
10,1,125,0
11,0,129,0
12,1,130,1
13,1,38,1
14,1,179,0
15,1,103,0
16,1,20,1
17,1,63,0
18,1,69,0
19,1,107,1
20,0,157,0
21,1,79,1
22,1,79,0
23,1,72,0
24,0,166,1
25,0,16,1
26,0,48,1
27,1,55,0
28,1,9,1
29,1,96,1
30,0,162,0
31,0,43,0
32,0,149,1
33,0,160,1
34,0,100,1
35,1,47,1
36,1,89,0
37,0,37,0
38,0,58,1
39,1,29,0
40,1,140,1
41,0,32,1
42,0,17,0
43,0,151,0
44,1,106,0
45,1,3,1
46,0,35,0
47,0,18,1
48,0,77,0
49,0,122,0
50,0,109,1
51,1,102,1
52,0,20,0
53,0,156,0
54,1,78,1
55,1,1,0
56,1,37,1
57,0,16,0
58,1,178,0
59,1,81,1
60,0,76,1
61,1,104,0
62,1,104,0
63,0,26,1
64,1,12,0
65,0,19,1
66,0,171,0
67,0,78,0
68,0,26,0
69,1,65,1
70,0,110,1
71,1,119,0
72,1,107,1
73,0,21,0
74,1,25,1
75,0,141,0
76,0,119,0
77,0,15,1
78,0,151,1
79,0,158,1
80,1,4,0
81,1,14,1
82,0,142,1
83,1,71,1
84,0,96,1
85,1,86,1
86,0,107,1
87,0,37,0
88,1,122,0
89,0,140,0
90,1,150,0
91,1,120,0
92,0,127,0
93,0,151,1
94,0,172,0
95,1,118,1
96,0,94,0
97,1,66,0
98,1,47,0
99,1,150,1
100,0,148,0
101,0,180,1
102,1,54,1
103,0,17,1
104,0,68,1
105,0,49,0
106,1,113,1
107,1,41,0
108,1,39,1
109,1,97,0
110,0,177,0
111,0,159,1
112,1,92,1
113,1,12,1
114,1,78,1
115,1,108,0
116,1,109,0
117,1,18,0
118,1,178,1
119,0,156,1
120,0,58,1
121,0,38,0
122,0,10,1
123,0,59,1
124,1,152,0
125,1,42,0
126,1,146,1
127,0,109,1
128,0,135,1
129,0,112,1
130,1,82,1
131,0,30,0
132,1,3,0
133,0,118,0
134,0,104,0
135,0,70,1
136,0,19,0
137,1,106,0
138,0,122,0
139,1,176,1
140,0,167,0
141,0,101,0
142,0,8,1
143,1,159,1
144,0,47,1
145,0,83,0
146,0,129,1
147,1,169,1
148,1,159,0
149,0,81,1
150,1,167,0
151,1,102,1
152,0,43,0
153,0,56,1
154,1,16,1
155,1,32,1
156,1,147,1
157,1,10,1
158,0,112,1
159,0,72,1
160,0,7,0
161,1,152,1
162,0,72,1
163,0,170,0
164,1,174,0
165,0,90,0
166,1,169,1
167,1,11,1
168,1,157,1
169,1,51,0
170,1,134,0
171,1,161,1
172,1,69,0
173,1,176,1
174,1,134,0
175,1,51,1
176,1,165,1
177,1,70,1
178,0,11,1
179,1,152,1
180,1,13,0
181,1,129,0
182,0,18,1
183,0,30,1
184,1,123,1
185,0,36,1
186,1,155,0
187,1,146,1
188,1,171,1
189,1,160,1
190,0,88,1
191,0,169,1
192,0,130,0
193,0,89,1
194,1,153,1
195,1,7,0
196,1,37,0
197,0,153,0
198,0,87,0
199,0,26,0
200,1,84,0
201,0,143,1
202,0,82,0
203,0,152,1
204,1,31,1
205,1,80,1
206,1,113,0
207,0,9,1
208,0,11,0
209,0,67,0
210,1,93,1
211,1,29,0
