ID,REGISTROCAMARACOMERCIO,APERTURA,CIERRE
0,0,8,10
1,1,6,11
2,2,7,10
3,3,7,9
4,4,6,10
5,5,5,9
6,6,8,9
7,7,6,9
8,8,6,8
9,9,8,9
10,10,7,9
11,11,8,9
12,12,5,11
13,13,7,8
14,14,8,8
15,15,8,9
16,16,7,8
17,17,7,8
18,18,7,10
19,19,8,9
20,20,8,12
21,21,5,9
22,22,6,9
23,23,7,12
24,24,8,9
25,25,6,10
26,26,6,12
27,27,6,9
28,28,5,11
29,29,7,9
30,30,5,8
31,31,6,12
32,32,6,11
33,33,7,8
34,34,8,12
35,35,5,10
36,36,7,10
37,37,6,11
38,38,7,11
39,39,6,8
40,40,7,9
41,41,8,12
42,42,6,8
43,43,7,9
44,44,6,8
45,45,6,11
46,46,8,12
47,47,6,10
48,48,7,8
49,49,6,10
50,50,5,11
51,51,8,10
52,52,8,12
53,53,7,11
54,54,7,9
55,55,6,8
56,56,6,12
57,57,5,9
58,58,5,10
59,59,8,11
60,60,6,11
61,61,8,9
62,62,6,9
63,63,5,10
64,64,7,10
65,65,8,8
66,66,8,12
67,67,8,12
68,68,5,9
69,69,8,9
70,70,5,8
71,71,7,12
72,72,5,9
73,73,8,9
74,74,6,10
75,75,7,10
76,76,8,8
77,77,7,12
78,78,6,12
79,79,6,11
80,80,7,8
81,81,6,11
82,82,5,9
83,83,8,10
84,84,7,8
85,85,7,9
86,86,8,12
87,87,5,11
88,88,6,9
89,89,8,11
90,90,8,10
91,91,6,9
92,92,7,8
93,93,5,9
94,94,6,9
95,95,5,12
96,96,8,9
97,97,5,8
98,98,7,12
99,99,7,8
100,100,7,11
101,101,8,12
102,102,6,10
103,103,6,11
104,104,5,10
105,105,6,8
106,106,7,8
107,107,6,10
108,108,7,8
109,109,6,12
110,110,8,8
111,111,8,12
112,112,5,9
113,113,7,10
114,114,8,11
115,115,6,11
116,116,8,8
117,117,8,12
118,118,5,11
119,119,6,10
120,120,8,9
121,121,5,8
122,122,6,9
123,123,5,10
124,124,6,10
125,125,6,8
126,126,7,9
127,127,6,8
128,128,7,8
129,129,8,12
130,130,8,9
131,131,6,9
132,132,5,12
133,133,6,12
134,134,7,10
135,135,7,8
136,136,7,10
137,137,5,8
138,138,5,10
139,139,7,10
140,140,6,11
141,141,6,12
142,142,8,10
143,143,6,10
144,144,8,11
145,145,5,11
146,146,5,11
147,147,8,10
148,148,8,9
149,149,5,10
150,150,6,8
151,151,7,11
152,152,6,8
153,153,8,9
154,154,8,10
155,155,7,9
156,156,7,10
157,157,8,11
158,158,7,9
159,159,6,8
160,160,8,8
161,161,7,10
162,162,6,8
163,163,5,10
164,164,8,8
165,165,7,11
166,166,6,10
167,167,7,12
168,168,8,9
169,169,6,8
170,170,8,11
171,171,8,8
172,172,6,10
173,173,5,12
174,174,6,12
175,175,7,12
176,176,6,12
177,177,8,12
178,178,5,11
179,179,7,11
180,180,8,10
181,181,5,10
182,182,6,10
183,183,8,10
184,184,8,10
185,185,7,11
186,186,6,12
187,187,7,9
188,188,7,12
189,189,5,10
190,190,5,11
191,191,8,8
192,192,6,8
193,193,8,8
194,194,8,12
195,195,8,11
196,196,8,11
197,197,7,11
198,198,7,8
199,199,5,12
200,200,7,12
201,201,8,10
202,202,7,10
203,203,7,8
204,204,7,8
205,205,6,10
206,206,8,8
207,207,7,9
208,208,7,10
209,209,6,11
210,210,7,12
211,211,6,10
212,212,5,12
213,213,7,10
214,214,6,8
215,215,6,11
216,216,5,9
217,217,5,10
218,218,8,10
219,219,6,12
220,220,7,9
221,221,8,9
222,222,5,11
223,223,8,9
224,224,6,11
225,225,8,11
226,226,7,8
227,227,6,9
228,228,6,9
229,229,8,11
230,230,6,10
231,231,8,10
232,232,5,10
233,233,6,9
234,234,7,12
235,235,8,12
236,236,5,10
237,237,6,9
238,238,8,10
239,239,5,10
240,240,6,11
241,241,5,11
242,242,8,10
243,243,8,9
244,244,7,12
245,245,5,12
246,246,8,11
247,247,5,12
248,248,7,12
249,249,6,12
250,250,6,12
251,251,7,11
252,252,8,12
253,253,5,12
254,254,7,11
255,255,7,8
256,256,5,12
257,257,7,9
258,258,7,11
259,259,7,10
260,260,8,9
261,261,6,9
262,262,5,11
