ID, REGISTROCAMARACOMERCIO, CATEGORIA
 1,4812,2
 2,1049,2
 3,3308,2
 4,1693,2
 5,8155,5
 6,6860,2
 7,5901,5
 8,5034,2
 9,2445,1
 10,2817,1
 11,5456,1
 12,5619,2
 13,4716,2
 14,8103,3
 15,7424,5
 16,6367,4
 17,6675,5
 18,3794,4
 19,9209,2
 20,4865,2
 21,6596,3
 22,8407,3
 23,3995,3
 24,4516,2
 25,4355,2
 26,2333,4
 27,4772,5
 28,8649,5
 29,9003,3
 30,8625,4
 31,5285,2
 32,9013,1
 33,9296,5
 34,8599,3
 35,9895,3
 36,1099,2
 37,8374,1
 38,4319,4
 39,7298,1
 40,1889,2
 41,7999,5
 42,2641,4
 43,6453,1
 44,9526,5
 45,3558,2
 46,3997,2
 47,8826,2
 48,4949,3
 49,8331,5
 50,9683,5
 51,9753,5
 52,9246,3
 53,5666,2
 54,3648,4
 55,8897,1
 56,4814,3
 57,3663,4
 58,3707,3
 59,1108,1
 60,9969,5
 61,8639,3
 62,1702,4
 63,5018,5
 64,5673,4
 65,7081,3
 66,2217,2
 67,2834,1
 68,4808,1
 69,7211,1
 70,3332,5
 71,3083,4
 72,1084,2
 73,8502,2
 74,2802,4
 75,4146,5
 76,1733,1
 77,2138,1
 78,3021,4
 79,2272,2
 80,7891,2
 81,4051,4
 82,9614,2
 83,9199,5
 84,7649,4
 85,7890,1
 86,3591,2
 87,3039,4
 88,2877,1
 89,4305,5
 90,5727,3
 91,7950,5
 92,4949,3
 93,4379,3
 94,4256,4
 95,5191,3
 96,1318,1
 97,4275,1
 98,2189,3
 99,7587,5
 100,3997,5
 101,1536,2
 102,6779,3
 103,5027,3
 104,3447,4
 105,5233,4
 106,1984,3
 107,5885,3
 108,1597,1
 109,8922,3
 110,5062,3
 111,3667,3
 112,2562,5
 113,1416,3
 114,9369,5
 115,2574,2
 116,3492,3
 117,1243,2
 118,9083,3
 119,3515,5
 120,8368,5
 121,2384,4
 122,1254,3
 123,7470,4
 124,7982,5
 125,9036,2
 126,8345,1
 127,9724,3
 128,2813,1
 129,9196,4
 130,3148,1
 131,7730,4
 132,9679,2
 133,5816,1
 134,2048,3
 135,9376,3
 136,7527,5
 137,8025,5
 138,5069,2
 139,8549,4
 140,7200,3
 141,2525,4
 142,1611,3
 143,4611,1
 144,3130,2
 145,2244,4
 146,6106,4
 147,8700,4
 148,2151,1
 149,1040,4
 150,7237,1
 151,3228,5
 152,5014,3
 153,8568,2
 154,6266,2
 155,5334,3
 156,6573,1
 157,7252,4
 158,1299,1
 159,3597,3
 160,3216,2
 161,8752,1
 162,8476,5
 163,8069,5
 164,7665,5
 165,5766,2
 166,7350,1
 167,7355,4
 168,9920,3
 169,2272,4
 170,3138,2
 171,5727,4
 172,1984,5
 173,5201,1
 174,2450,3
 175,5890,4
 176,4127,3
 177,2252,4
 178,3919,1
 179,7926,1
 180,9294,1
 181,4100,2
 182,1074,1
 183,3151,5
 184,7157,1
 185,4684,5
 186,1614,5
 187,7777,4
 188,8681,4
 189,7036,5
 190,8606,5
 191,1605,5
 192,7036,4
 193,8174,4
 194,9660,3
 195,7256,5
 196,7318,2
 197,4965,1
 198,1796,3
 199,3877,4
 200,7165,3
 201,6065,2
 202,8753,4
 203,1986,5
 204,1548,1
 205,3663,3
 206,2677,4
 207,1295,1
 208,3046,3
 209,5531,3
 210,4419,1
 211,1701,1
 212,6166,5
 213,7544,1
 214,3497,2
 215,8851,5
 216,3609,3
 217,5731,4
 218,8090,4
 219,7370,5
 220,1172,4
 221,9429,5
 222,5882,5
 223,8914,2
 224,5375,2
 225,6079,5
 226,1471,5
 227,9420,5
 228,7238,4
 229,6699,1
 230,9928,5
 231,3146,1
 232,9637,2
 233,6941,1
 234,7593,3
 235,5079,3
 236,3406,1
 237,5386,2
 238,4907,4
 239,1796,3
 240,5155,5
 241,5541,3
 242,6575,3
 243,9895,4
 244,9062,4
 245,4318,2
 246,4554,1
 247,3842,4
 248,4070,2
 249,9579,5
 250,3145,2
 251,8173,4
 252,4050,5
 253,1404,5
 254,6594,1
 255,5242,5
 256,6467,3
 257,8181,3
 258,3324,1
 259,9989,5
 260,7544,3
 261,1941,2
 262,9674,5
 263,9109,1
 264,4550,2
 265,9693,2
 266,3636,2
 267,4154,4
 268,4284,5
 269,5513,2
 270,4573,5
 271,2462,3
 272,1897,3
 273,1335,2
 274,9187,2
 275,4821,5
 276,7012,2
 277,1051,1
 278,1396,5
 279,4205,5
 280,1173,2
 281,6947,3
 282,3232,3
 283,2878,5
 284,3036,4
 285,6114,5
 286,8642,4
 287,5622,1
 288,4827,4
 289,9212,5
 290,5060,4
 291,4999,2
 292,1170,2
 293,3347,2
 294,9684,3
 295,4486,3
 296,3430,1
 297,8723,4
 298,7047,3
 299,9338,1
 300,3097,5
 301,5810,5
 302,7449,2
 303,5748,5
 304,7128,3
 305,8212,2
 306,8697,2
 307,7852,4
 308,5273,2
 309,3700,3
 310,2692,2
 311,5891,5
 312,4486,2
 313,5206,5
 314,2156,4
 315,8983,4
 316,9832,4
 317,1968,2
 318,8675,4
 319,8920,4
 320,8344,4
 321,8380,4
 322,2064,5
 323,3560,2
