NUMOFERTA, IDOPERADOR, IDLUGAR, TIPOLUGAR, HABILITADA, FECHAINICIAL, FECHAFINAL, PRECIO
 1,1,1,habitación hostal,1,09/01/2019,18/03/2020,2785391
 2,2,2,suite hotel,1,20/05/2018,26/11/2018,1319441
 3,3,3,habitación vivienda ,0,20/11/2019,12/04/2018,190428
 4,4,4,habitación hotel,0,14/12/2019,11/08/2018,2152877
 5,5,5,suite hotel,0,30/01/2019,18/07/2019,2831905
 6,6,6,suite vivienda universitaria,1,02/12/2019,23/12/2018,2312768
 7,7,7,vivienda,0,21/04/2020,06/01/2020,3273117
 8,8,8,suite hotel,1,09/05/2020,20/07/2019,1435721
 9,9,9,suite hotel,0,23/06/2018,06/04/2019,2117514
 10,10,10,suite vivienda universitaria,0,17/08/2018,31/08/2019,3098565
 11,11,11,suite hotel,1,16/07/2019,21/10/2019,2091686
 12,12,12,habitación vivienda universitaria,0,12/04/2018,18/02/2018,2352441
 13,13,13,suite vivienda universitaria,0,02/02/2019,04/09/2018,1569457
 14,14,14,habitación vivienda universitaria,0,04/05/2020,29/06/2019,576494
 15,15,15,habitación vivienda ,0,27/10/2019,15/05/2019,379611
 16,16,16,suite hotel,1,29/01/2020,18/02/2020,137439
 17,17,17,habitación vivienda ,1,09/04/2018,01/07/2019,882055
 18,18,18,habitación vivienda universitaria,1,11/03/2020,01/01/2019,3729326
 19,19,19,habitación hotel,0,30/04/2020,13/11/2018,1888200
 20,20,20,suite hotel,1,28/06/2018,15/10/2019,705376
 21,21,21,habitación hotel,1,28/11/2018,16/09/2019,3375626
 22,22,22,habitación hotel,1,02/06/2019,16/03/2018,3636385
 23,23,23,habitación vivienda ,0,16/05/2020,17/03/2019,667262
 24,24,24,habitación hotel,0,06/04/2020,16/07/2019,3607077
 25,25,25,suite hotel,1,05/03/2018,17/08/2018,1489427
 26,26,26,suite vivienda universitaria,1,01/02/2018,22/03/2019,893479
 27,27,27,suite vivienda universitaria,1,22/11/2019,11/07/2018,2264266
 28,28,28,suite vivienda universitaria,1,12/11/2019,16/03/2019,1000819
 29,29,29,suite hotel,1,07/05/2020,24/04/2020,2971800
 30,30,30,suite hotel,1,29/05/2018,12/03/2018,597949
 31,31,31,suite vivienda universitaria,1,10/06/2019,27/12/2019,3068973
 32,32,32,suite hotel,1,14/07/2019,07/01/2019,1173596
 33,33,33,habitación hotel,0,28/01/2019,10/09/2018,1993223
 34,34,34,habitación hostal,1,17/01/2018,08/12/2019,1180676
 35,35,35,suite hotel,0,16/10/2019,02/06/2018,847174
 36,36,36,suite hotel,0,28/08/2019,06/11/2019,104951
 37,37,37,habitación hostal,1,19/03/2018,16/09/2019,2826948
 38,38,38,suite vivienda universitaria,1,08/08/2019,19/01/2019,179092
 39,39,39,suite hotel,0,15/01/2020,27/05/2018,1209652
 40,40,40,vivienda,1,14/04/2020,22/02/2018,2460166
 41,41,41,suite vivienda universitaria,1,04/03/2019,02/02/2018,238720
 42,42,42,habitación hostal,0,26/02/2020,25/10/2019,2207651
 43,43,43,vivienda,1,05/01/2019,10/04/2018,1369137
