ID,TIPO,NOMBRE
0,vecino,Panamericana
1,Miembro comunidad,Avianca
2,Empreza vivienda univercitaria,City U 
3,Hostal,Avianca
4,Empreza vivienda univercitaria,Livin
5,Hotel,Uni
6,Hotel,SisTrans
7,Miembro comunidad,Hilton
8,vecino,Livin
9,Hotel,Tostao
10,Empreza vivienda univercitaria,Tostao
11,Hostal,Unal
12,vecino,Tostao
13,Miembro comunidad,SeneK
14,vecino,Panamericana
15,Hostal,City U 
16,Empreza vivienda univercitaria,El Mono
17,Hostal,Operaciones b
18,Hotel,Panamericana
19,Hotel,Hilton
20,Hotel,Operaciones b
21,Hostal,Livin
22,Hostal,Operaciones b
23,Empreza vivienda univercitaria,City U 
24,Miembro comunidad,Tostao
25,Empreza vivienda univercitaria,City U 
26,vecino,SeneK
27,Miembro comunidad,Uni
28,Hotel,Operaciones b
29,Hostal,SeneK
30,Empreza vivienda univercitaria,Tostao
31,Miembro comunidad,Hilton
32,Hotel,SisTrans
33,Hotel,Livin
34,Miembro comunidad,Panamericana
35,Miembro comunidad,Operaciones b
36,vecino,Hilton
37,Miembro comunidad,SeneK
38,Empreza vivienda univercitaria,Livin
39,Miembro comunidad,Livin
40,Miembro comunidad,Tostao
41,Hostal,SeneK
42,Empreza vivienda univercitaria,Unal
43,Empreza vivienda univercitaria,Hilton
44,vecino,SeneK
45,Miembro comunidad,Operaciones b
46,Hotel,Unal
47,Miembro comunidad,Panamericana
48,Hostal,Tostao
49,Empreza vivienda univercitaria,Livin
50,Hostal,SeneK
51,vecino,SisTrans
52,Miembro comunidad,Livin
53,Miembro comunidad,Panamericana
54,Hostal,Uni
55,Miembro comunidad,El Mono
56,vecino,El sol
57,Miembro comunidad,Avianca
58,Miembro comunidad,Livin
59,vecino,Livin
60,Miembro comunidad,Operaciones b
61,Empreza vivienda univercitaria,Uni
62,Hotel,Uni
63,Miembro comunidad,Tostao
64,vecino,SisTrans
65,Hostal,El Mono
66,Hostal,El Mono
67,Empreza vivienda univercitaria,City U 
68,Hotel,Uni
69,Miembro comunidad,Avianca
70,Miembro comunidad,SeneK
71,Hostal,City U 
72,Hostal,Uni
73,Hostal,SeneK
74,Miembro comunidad,El sol
75,Hotel,Unal
76,Miembro comunidad,Tostao
77,vecino,Panamericana
78,vecino,Livin
79,Hostal,El sol
80,Miembro comunidad,Avianca
81,vecino,City U 
82,Empreza vivienda univercitaria,Operaciones b
83,Hostal,Panamericana
84,Empreza vivienda univercitaria,Hilton
85,Miembro comunidad,Panamericana
86,Hotel,SisTrans
87,vecino,Operaciones b
88,Hotel,Livin
