IDCLIENTE,OFERTAID,CANTIDAD,FECHAINICIAL,FECHAFINAL
0,1,0,19/05/2020,18/05/2020
1,2,1,19/05/2020,22/05/2020
2,3,2,18/05/2020,22/05/2020
3,4,3,19/05/2020,20/05/2020
4,5,4,21/05/2020,18/05/2020
5,6,5,19/05/2020,22/05/2020
6,7,6,23/05/2020,23/05/2020
7,8,7,23/05/2020,18/05/2020
8,9,8,23/05/2020,19/05/2020
9,10,9,22/05/2020,21/05/2020
10,11,10,22/05/2020,20/05/2020
11,12,11,23/05/2020,19/05/2020
12,13,12,24/05/2020,20/05/2020
13,14,13,23/05/2020,19/05/2020
14,15,14,20/05/2020,19/05/2020
15,16,15,19/05/2020,20/05/2020
16,17,16,21/05/2020,21/05/2020
17,18,17,23/05/2020,23/05/2020
18,19,18,19/05/2020,22/05/2020
19,20,19,19/05/2020,24/05/2020
20,21,20,20/05/2020,19/05/2020
21,22,21,24/05/2020,18/05/2020
22,23,22,18/05/2020,22/05/2020
23,24,23,19/05/2020,18/05/2020
24,25,24,21/05/2020,18/05/2020
25,26,25,22/05/2020,19/05/2020
26,27,26,18/05/2020,20/05/2020
27,28,27,18/05/2020,23/05/2020
28,29,28,18/05/2020,22/05/2020
29,30,29,18/05/2020,18/05/2020
30,31,30,19/05/2020,18/05/2020
31,32,31,23/05/2020,24/05/2020
32,33,32,21/05/2020,21/05/2020
33,34,33,20/05/2020,18/05/2020
34,35,34,24/05/2020,22/05/2020
35,36,35,20/05/2020,20/05/2020
36,37,36,20/05/2020,21/05/2020
37,38,37,20/05/2020,23/05/2020
38,39,38,22/05/2020,24/05/2020
39,40,39,20/05/2020,23/05/2020
40,41,40,18/05/2020,21/05/2020
41,42,41,22/05/2020,23/05/2020
42,43,42,21/05/2020,19/05/2020
43,44,43,18/05/2020,20/05/2020
44,45,44,21/05/2020,21/05/2020
45,46,45,19/05/2020,19/05/2020
46,47,46,24/05/2020,23/05/2020
47,48,47,18/05/2020,18/05/2020
48,49,48,24/05/2020,20/05/2020
49,50,49,23/05/2020,18/05/2020
50,51,50,23/05/2020,24/05/2020
51,52,51,20/05/2020,20/05/2020
52,53,52,18/05/2020,19/05/2020
53,54,53,22/05/2020,18/05/2020
54,55,54,24/05/2020,21/05/2020
55,56,55,23/05/2020,24/05/2020
56,57,56,21/05/2020,23/05/2020
57,58,57,24/05/2020,21/05/2020
58,59,58,23/05/2020,24/05/2020
59,60,59,19/05/2020,18/05/2020
60,61,60,24/05/2020,20/05/2020
61,62,61,24/05/2020,19/05/2020
62,63,62,23/05/2020,22/05/2020
63,64,63,22/05/2020,18/05/2020
64,65,64,19/05/2020,21/05/2020
65,66,65,20/05/2020,22/05/2020
66,67,66,22/05/2020,20/05/2020
67,68,67,23/05/2020,20/05/2020
68,69,68,23/05/2020,18/05/2020
69,70,69,21/05/2020,18/05/2020
70,71,70,23/05/2020,19/05/2020
71,72,71,24/05/2020,23/05/2020
72,73,72,20/05/2020,23/05/2020
73,74,73,20/05/2020,21/05/2020
74,75,74,18/05/2020,21/05/2020
75,76,75,20/05/2020,22/05/2020
76,77,76,19/05/2020,20/05/2020
77,78,77,22/05/2020,19/05/2020
78,79,78,18/05/2020,22/05/2020
79,80,79,21/05/2020,24/05/2020
80,81,80,22/05/2020,21/05/2020
81,82,81,19/05/2020,21/05/2020
82,83,82,23/05/2020,24/05/2020
83,84,83,19/05/2020,20/05/2020
84,85,84,22/05/2020,22/05/2020
85,86,85,18/05/2020,24/05/2020
86,87,86,19/05/2020,22/05/2020
87,88,87,21/05/2020,19/05/2020
88,89,88,20/05/2020,18/05/2020
89,90,89,23/05/2020,21/05/2020
90,91,90,24/05/2020,23/05/2020
91,92,91,18/05/2020,20/05/2020
92,93,92,23/05/2020,19/05/2020
93,94,93,21/05/2020,24/05/2020
94,95,94,18/05/2020,22/05/2020
95,96,95,22/05/2020,21/05/2020
96,97,96,19/05/2020,19/05/2020
97,98,97,20/05/2020,19/05/2020
98,99,98,22/05/2020,20/05/2020
99,100,99,18/05/2020,21/05/2020
100,101,100,24/05/2020,18/05/2020
101,102,101,23/05/2020,23/05/2020
102,103,102,20/05/2020,18/05/2020
103,104,103,19/05/2020,19/05/2020
104,105,104,18/05/2020,22/05/2020
105,106,105,21/05/2020,23/05/2020
106,107,106,19/05/2020,20/05/2020
107,108,107,18/05/2020,24/05/2020
108,109,108,19/05/2020,24/05/2020
109,110,109,22/05/2020,20/05/2020
110,111,110,22/05/2020,24/05/2020
111,112,111,23/05/2020,19/05/2020
112,113,112,24/05/2020,24/05/2020
113,114,113,19/05/2020,19/05/2020
114,115,114,20/05/2020,18/05/2020
115,116,115,21/05/2020,24/05/2020
116,117,116,21/05/2020,20/05/2020
117,118,117,20/05/2020,22/05/2020
118,119,118,20/05/2020,24/05/2020
119,120,119,23/05/2020,22/05/2020
120,121,120,21/05/2020,21/05/2020
121,122,121,20/05/2020,18/05/2020
122,123,122,19/05/2020,19/05/2020
123,124,123,24/05/2020,24/05/2020
124,125,124,18/05/2020,23/05/2020
125,126,125,19/05/2020,24/05/2020
126,127,126,24/05/2020,19/05/2020
127,128,127,21/05/2020,20/05/2020
128,129,128,21/05/2020,18/05/2020
129,130,129,24/05/2020,20/05/2020
130,131,130,24/05/2020,23/05/2020
131,132,131,22/05/2020,21/05/2020
132,133,132,21/05/2020,23/05/2020
133,134,133,19/05/2020,21/05/2020
134,135,134,18/05/2020,22/05/2020
135,136,135,20/05/2020,22/05/2020
136,137,136,23/05/2020,22/05/2020
137,138,137,19/05/2020,18/05/2020
138,139,138,24/05/2020,24/05/2020
139,140,139,18/05/2020,22/05/2020
140,141,140,21/05/2020,23/05/2020
141,142,141,23/05/2020,20/05/2020
142,143,142,20/05/2020,20/05/2020
143,144,143,24/05/2020,19/05/2020
144,145,144,21/05/2020,19/05/2020
145,146,145,22/05/2020,20/05/2020
146,147,146,24/05/2020,18/05/2020
147,148,147,21/05/2020,22/05/2020
148,149,148,18/05/2020,24/05/2020
149,150,149,23/05/2020,23/05/2020
150,151,150,23/05/2020,23/05/2020
151,152,151,21/05/2020,24/05/2020
152,153,152,21/05/2020,21/05/2020
153,154,153,21/05/2020,22/05/2020
154,155,154,23/05/2020,18/05/2020
155,156,155,24/05/2020,18/05/2020
156,157,156,21/05/2020,18/05/2020
157,158,157,24/05/2020,20/05/2020
158,159,158,21/05/2020,19/05/2020
