ID, BANIERA, YACUZZI, SALA, COCINETA
 1,0,0,0,1
 2,1,0,0,1
 3,1,1,0,1
 4,0,1,1,1
 5,1,1,0,0
 6,0,1,0,1
 7,1,1,1,1
 8,1,0,0,1
 9,0,0,0,0
 10,0,1,1,1
 11,1,0,1,1
 12,1,1,1,0
 13,0,1,1,1
 14,1,1,0,1
 15,0,1,1,1
 16,0,1,1,1
 17,1,1,1,0
 18,0,0,1,0
 19,0,0,0,0
 20,0,1,0,1
 21,0,0,1,1
 22,0,1,1,0
 23,0,0,1,0
 24,1,1,0,0
 25,0,0,0,0
 26,0,0,1,1
 27,1,0,0,0
 28,1,0,0,1
 29,0,1,1,1
 30,1,0,0,1
 31,1,1,0,1
 32,1,0,0,0
 33,1,0,0,0
 34,1,0,0,0
 35,0,0,0,0
 36,1,0,0,1
 37,1,1,0,1
 38,0,1,0,1
 39,0,1,0,1
 40,0,0,1,0
 41,1,1,0,1
 42,1,1,0,1
 43,0,1,0,1
 44,1,1,1,1
 45,1,1,0,0
 46,1,1,1,1
 47,0,0,0,1
 48,0,1,1,1
 49,1,0,0,0
 50,1,1,1,1
 51,0,0,0,0
 52,1,1,0,1
 53,0,1,0,1
 54,1,0,1,1
 55,1,1,1,0
 56,1,0,0,1
 57,1,0,0,0
 58,1,1,1,0
 59,0,0,0,1
 60,0,0,1,1
 61,0,0,0,0
 62,0,1,0,0
 63,1,1,0,0
 64,1,0,0,1
 65,0,0,1,1
 66,1,1,0,1
 67,1,0,0,0
 68,0,1,1,1
 69,1,1,0,0
 70,1,0,0,0
 71,1,1,1,1
 72,1,0,0,0
 73,1,1,0,1
 74,1,0,1,1
 75,1,0,1,1
 76,0,0,1,1
 77,1,0,0,0
 78,0,1,1,0
 79,0,1,0,0
 80,1,1,0,1
 81,1,1,1,0
 82,0,1,1,1
 83,1,0,1,0
 84,1,1,1,1
 85,0,0,0,1
 86,0,0,0,0
 87,1,1,1,0
 88,1,0,1,0
 89,0,0,0,1
 90,0,1,0,1
 91,0,1,0,1
 92,0,0,0,1
 93,0,1,1,1
 94,0,1,1,1
 95,1,1,0,0
 96,0,0,1,1
 97,0,0,0,1
 98,0,1,0,0
 99,0,1,0,1
 100,0,0,0,0
 101,1,1,0,0
 102,0,1,1,1
 103,1,0,1,0
 104,1,1,1,0
 105,1,1,0,0
 106,0,0,1,1
 107,1,1,1,1
 108,1,1,1,1
 109,1,0,1,1
 110,0,1,1,0
 111,1,0,0,1
 112,1,0,0,1
 113,1,0,0,1
 114,1,1,0,0
 115,0,0,1,0
 116,0,0,1,1
 117,1,0,1,0
 118,1,0,0,0
 119,1,0,1,1
 120,1,0,1,1
 121,1,1,0,0
 122,1,0,1,1
 123,0,0,0,0
 124,1,0,0,1
 125,1,0,0,1
 126,0,1,1,0
 127,1,0,1,1
 128,0,0,0,1
 129,1,1,1,1
 130,1,1,1,1
 131,0,1,0,0
 132,0,1,0,1
 133,1,0,1,1
 134,1,0,0,0
 135,1,1,1,0
 136,1,1,1,1
 137,0,0,1,0
 138,1,0,1,1
 139,1,0,0,1
 140,1,1,0,1
 141,1,0,1,1
 142,0,1,1,1
 143,1,0,0,1
 144,1,1,1,0
 145,0,0,1,1
 146,1,1,1,0
 147,1,0,0,1
 148,0,1,0,1
 149,1,0,1,0
 150,1,1,0,0
 151,1,0,1,1
 152,0,1,0,1
 153,0,0,1,1
 154,0,0,0,0
 155,1,1,1,1
 156,1,0,0,0
 157,0,0,0,0
 158,1,1,1,0
 159,0,1,0,0
 160,1,0,1,1
 161,1,1,1,0
 162,1,0,0,0
 163,0,1,1,0
 164,1,1,1,1
 165,0,1,0,1
 166,0,1,1,0
 167,0,0,1,1
 168,1,1,1,0
 169,1,1,1,1
 170,1,0,1,0
 171,0,0,0,0
 172,1,0,0,0
 173,0,0,0,0
 174,0,1,0,1
 175,1,1,1,0
 176,0,1,1,0
 177,1,1,0,0
 178,1,1,1,1
 179,0,1,1,0
 180,1,1,1,0
 181,1,0,0,1
 182,1,1,1,0
 183,0,0,0,1
 184,1,0,0,1
 185,0,0,0,1
 186,1,0,0,0
 187,1,0,1,0
 188,0,0,1,0
 189,1,0,0,0
 190,0,1,1,1
 191,0,0,0,1
 192,0,0,0,0
 193,1,1,0,0
 194,0,1,1,1
 195,1,0,1,1
 196,1,1,1,0
 197,1,0,0,1
 198,0,0,0,0
 199,1,0,1,0
 200,0,1,1,1
 201,1,1,1,0
 202,1,1,0,1
 203,0,0,0,0
 204,1,1,0,0
 205,0,0,1,0
 206,1,1,0,0
 207,1,0,1,0
 208,0,0,1,1
 209,1,0,1,1
 210,0,1,0,1
 211,1,1,1,1
 212,1,0,1,1
 213,0,1,0,0
 214,0,1,1,0
 215,0,1,0,1
 216,0,1,1,0
 217,0,1,0,0
 218,1,1,1,1
 219,0,0,0,1
 220,0,0,0,0
 221,0,0,0,0
 222,0,0,1,0
 223,1,0,1,1
 224,0,1,0,0
 225,1,0,1,0
 226,1,1,0,1
 227,0,1,1,1
 228,1,0,0,1
 229,1,0,0,0
 230,0,1,1,0
 231,1,1,1,0
 232,0,1,1,1
 233,1,0,1,1
 234,1,1,0,0
 235,1,0,1,1
 236,0,1,1,0
 237,1,1,0,0
 238,1,1,1,0
 239,1,1,1,1
 240,1,0,0,0
 241,0,0,1,0
 242,0,0,1,1
 243,1,0,1,0
 244,0,0,1,0
 245,1,1,0,1
 246,1,0,0,1
 247,1,0,1,0
 248,0,0,0,0
 249,0,0,0,1
 250,1,0,1,1
 251,0,0,1,0
 252,1,0,0,0
 253,1,0,0,0
 254,0,1,1,0
 255,1,0,0,0
 256,1,1,0,1
 257,1,1,0,0
 258,0,1,1,0
 259,1,0,1,1
 260,1,1,1,0
 261,0,1,1,1
 262,1,1,0,0
 263,0,1,1,0
 264,0,1,0,0
 265,0,1,0,1
 266,1,0,1,1
 267,1,0,1,0
 268,0,1,1,0
 269,1,1,0,0
 270,1,1,1,1
 271,0,1,0,0
 272,0,1,0,1
 273,0,0,0,0
 274,0,1,1,1
 275,0,0,1,1
 276,1,1,1,0
 277,1,0,1,0
 278,0,1,0,1
 279,1,0,1,0
 280,1,1,0,1
 281,0,1,1,0
 282,0,0,0,0
 283,0,1,0,1
 284,1,1,1,1
 285,0,0,1,1
 286,0,0,0,0
 287,1,1,1,1
 288,0,1,0,1
 289,0,1,1,0
 290,1,1,1,1
 291,0,0,1,0
 292,1,0,0,0
 293,0,1,0,0
 294,1,0,1,1
 295,1,1,1,1
 296,1,1,1,0
 297,1,1,1,1
 298,1,1,0,1
 299,1,0,1,0
 300,1,1,1,1
 301,1,1,1,0
 302,1,0,1,0
 303,0,0,0,1
 304,0,1,1,1
 305,0,0,1,0
 306,0,1,1,1
 307,0,0,0,0
 308,0,0,1,1
 309,1,0,0,0
 310,1,1,0,0
 311,1,1,1,1
 312,0,1,1,1
 313,0,1,0,1
 314,1,0,0,0
 315,1,0,1,0
 316,0,1,0,1
 317,1,0,0,0
 318,1,0,0,0
 319,1,1,0,1
 320,1,1,0,0
 321,0,0,0,0
 322,1,1,0,0
 323,0,0,1,0
 324,0,0,1,1
 325,1,1,1,0
 326,0,0,0,1
 327,0,0,0,1
