ID, RESTAURANTE, PISCINA, PARQUEADERO, WIFI, TV, H24
 1,1,0,1,0,0,0
 2,0,1,0,1,1,1
 3,1,1,0,1,0,0
 4,0,0,1,1,1,0
 5,1,0,1,1,1,1
 6,0,0,0,0,1,1
 7,1,1,1,1,0,1
 8,0,1,1,1,0,0
 9,1,0,0,0,0,1
 10,0,1,0,0,1,0
 11,0,1,1,1,1,0
 12,1,0,1,1,0,0
 13,1,0,1,1,1,0
 14,1,0,0,0,0,1
 15,0,1,1,0,0,1
 16,1,0,1,1,0,1
 17,0,0,0,0,1,1
 18,0,0,1,1,1,1
 19,0,1,0,1,1,0
 20,0,1,0,1,1,1
 21,1,1,1,1,1,0
 22,0,0,0,1,0,1
 23,0,1,1,1,1,1
 24,0,0,1,1,0,0
 25,1,1,0,0,0,0
 26,1,1,1,0,0,1
 27,0,1,1,1,0,0
 28,0,1,0,0,1,0
 29,1,1,0,1,0,0
 30,1,0,0,0,1,0
 31,0,0,0,1,1,1
 32,1,1,1,1,0,0
 33,1,0,0,0,0,0
 34,0,0,0,0,0,1
 35,1,1,1,1,1,0
 36,1,0,1,1,1,1
 37,0,1,1,1,1,0
 38,1,1,1,0,0,1
 39,0,1,1,1,0,1
 40,1,1,0,1,0,1
 41,1,1,1,1,1,1
 42,0,0,1,0,0,1
 43,1,0,1,0,0,0
 44,0,1,0,0,1,0
 45,1,1,0,0,0,1
 46,1,1,1,1,0,1
 47,1,1,0,1,1,0
 48,0,0,1,1,1,0
 49,0,0,0,1,0,0
 50,1,0,0,1,0,0
 51,0,1,1,0,1,0
 52,0,0,0,1,1,0
 53,0,0,0,0,0,1
 54,1,0,0,1,0,1
 55,0,0,1,0,0,0
 56,1,1,0,1,0,1
 57,1,1,0,1,0,0
 58,0,0,1,0,1,1
 59,1,1,1,1,0,1
 60,1,0,1,1,1,1
 61,0,1,0,0,1,1
 62,0,1,0,0,1,1
 63,1,0,1,0,0,0
 64,0,1,0,1,0,0
 65,0,0,0,0,1,0
 66,1,1,0,1,0,1
 67,0,0,1,1,0,0
 68,0,1,0,0,1,1
 69,1,1,0,1,1,1
 70,0,0,0,0,1,0
 71,0,1,1,1,1,0
 72,1,1,1,0,0,0
 73,0,1,0,1,0,1
 74,0,0,0,1,1,1
 75,0,0,1,1,0,1
 76,0,0,0,0,1,0
 77,1,0,0,0,1,0
 78,1,1,0,0,1,1
 79,0,0,1,1,0,0
 80,0,1,0,0,0,1
 81,0,0,0,1,0,0
 82,1,0,0,1,0,1
 83,1,0,0,1,1,0
 84,1,1,1,0,0,1
 85,1,0,0,0,1,0
 86,1,0,1,1,1,1
 87,1,1,1,0,0,1
 88,0,0,1,0,1,1
 89,0,0,1,1,0,0
 90,0,1,1,0,0,0
 91,1,0,0,1,0,0
 92,0,0,0,0,1,0
 93,0,1,0,0,1,1
 94,0,1,0,1,0,0
 95,1,1,1,0,0,1
 96,1,1,0,1,1,1
 97,1,0,1,0,1,1
 98,1,0,1,1,0,0
 99,0,0,0,1,0,0
 100,1,1,1,1,0,1
 101,1,1,0,0,0,1
 102,1,0,1,0,1,0
 103,1,0,0,1,1,1
 104,0,1,0,0,0,1
 105,0,1,1,0,1,0
 106,1,0,1,0,0,0
 107,0,1,0,0,1,0
 108,0,0,1,0,1,0
 109,0,1,1,0,1,0
 110,0,1,0,0,1,0
 111,0,1,1,0,1,1
 112,0,0,1,0,0,1
 113,0,1,0,1,1,0
 114,0,1,1,0,1,1
 115,0,1,0,0,1,1
 116,0,0,0,0,0,0
 117,0,1,0,0,0,0
 118,1,1,1,1,0,0
 119,1,1,1,0,1,1
 120,1,1,0,1,1,1
 121,1,1,0,0,0,1
 122,0,1,0,0,0,1
 123,0,1,0,1,0,0
 124,1,1,1,0,1,0
 125,0,1,1,1,1,0
 126,1,0,0,0,1,0
 127,1,0,0,1,1,1
 128,0,1,1,0,0,0
 129,1,0,0,1,0,0
 130,1,0,0,0,0,1
 131,1,1,0,1,1,1
 132,0,1,0,1,0,1
 133,1,1,0,1,0,0
 134,1,1,0,1,1,0
 135,0,0,1,1,1,0
 136,0,0,1,0,1,1
 137,0,0,0,0,1,1
 138,0,1,1,0,1,1
 139,0,1,1,0,0,1
 140,1,0,1,1,0,1
 141,1,0,0,0,0,1
 142,1,1,0,0,1,0
 143,1,0,0,1,1,1
 144,0,0,1,0,1,0
 145,0,0,1,1,0,0
 146,0,0,1,1,1,1
 147,1,1,1,1,1,0
 148,0,0,1,1,0,0
 149,1,1,1,1,1,1
 150,0,0,0,0,0,0
 151,0,0,1,0,1,0
 152,0,1,1,1,1,1
 153,1,1,1,1,0,0
 154,1,0,1,0,0,1
 155,1,0,1,0,0,0
 156,1,1,0,0,1,1
 157,0,1,0,0,0,0
 158,0,0,0,0,1,1
 159,0,0,1,1,0,0
 160,1,1,0,1,0,0
 161,1,1,0,1,1,1
 162,0,1,0,0,1,1
 163,1,1,0,0,0,1
 164,1,0,1,1,1,1
 165,0,0,0,0,1,0
 166,0,0,0,1,1,1
 167,0,0,1,0,1,0
 168,0,1,0,1,1,1
 169,0,0,1,1,0,1
 170,0,1,0,1,0,1
 171,0,0,1,0,1,0
 172,0,1,1,1,0,1
 173,1,0,0,1,0,0
