DIRECCION,COSTO,SEGURO,NUMEROHABITACIONES,MENAJE
10354 West Guánica Blvd.,687743,E1F9A9D4-BD61-4D9D-AB9F-23D051C3BB8D,1,1
 87988 East Belgium Ave.,472431,2BE0A1A3-9F4E-40A0-8D09-1905617A9D23,4,1
 54327 East Seychelles Blvd.,652376,0EFED257-289B-4DBE-945D-1FC49D364414,3,1
 55648 North Puerto Rico Ave.,229965,099B653D-8445-4BDA-9ACC-F928F8FCBB41,3,0
 96649 East Algeria Ln.,331759,99DFA5EA-59A9-46F1-933E-1A53B12E6A47,4,1
 22576 South Angola Blvd.,372442,534AF1F3-8852-4291-B243-95952AF19344,1,0
 66046 West Mali Ct.,740641,9E334400-5754-4FF5-B38B-68BFE47348F2,1,0
 41864 South Decatur Blvd.,696731,7420E481-615F-4DA2-8870-71E6F9476F38,4,0
 30909  Myanmar Blvd.,210678,AD43023D-56BB-4238-A72E-96CA800010AA,5,0
 16665 West Dominica Way,233195,D102600D-2DF0-4B00-96D3-03CB5D96F72A,2,1
 56675 North Puerto Rico St.,854645,1E40DB11-7F66-44BE-B7D5-C7BB85856E74,2,1
 29058 North Burkina Faso Way,806955,30B6D295-4AC5-4F8B-BCD8-51C83D0A8D07,2,0
 43341 West Belgium Ln.,499494,2EB28249-9D43-4BA4-984F-4E7507AA268E,2,1
 14359 East Madagascar Blvd.,497438,FEFDE2B3-2D9A-49F4-B534-AF375A6A48F0,3,0
 33160 West Chester Ln.,343874,B2C01395-D68B-4E02-B43D-A282D80DDDE5,2,1
 43016 East Fond du Lac Blvd.,638042,97DC5AAC-B031-40D9-8659-AEE84FA02BE0,2,1
 68464 North Cody Ln.,240359,361AB965-B254-421F-8EE5-2718269F20DA,5,0
 75845 West Guatemala St.,815528,2FE88A3F-FF52-478F-B8A3-23449F330D70,1,1
 74246 West Palestinian Territory, Occupied Blvd.,789252,1362E064-E05A-4AA9-B9E3-F1557C8F1AB7,1,1
 7145 West Clovis Blvd.,717327,C3347AFD-37CF-406F-ADCB-D14114418CA3,1,0
 29078 West Benin Way,450470,5295EDB9-566A-46B2-8DFC-F3220917FBB1,2,1
 69290 East Virgin Islands, British Way,216481,DE817F29-79AF-44B2-B9D5-6FA53B7E079D,5,0
 8689 North Argentina Blvd.,758386,B84E9F26-FCAE-4C00-8EA6-7E4243EC071B,2,0
 60713 East Amesbury Ave.,192761,BB0A3654-7F1A-4347-AC6D-CA26A52F89ED,5,0
 65980 North Kazakhstan Blvd.,498755,B2A0B3EF-C506-4205-927D-EC6CA57A5F0F,3,0
 69524 East Macedonia St.,519480,468F745A-5333-414F-BB77-FC00A9341551,5,0
 87186 South Tunisia Ln.,310077,FE8ADA97-194C-4F31-9C45-DAFB3A698CD1,2,0
 58428 South Abilene Way,190160,B44524DA-472D-460D-A8D7-80B26D54C121,5,1
 52413 South Areceibo Ave.,611553,D3C823D6-5BB2-4A64-A243-78B65601E7D3,2,1
 88238 South Burundi Way,757563,ACAB91A1-1A94-441E-A54D-569447C6F5A0,5,1
 79631  Clarksville Ln.,579016,85A4EEC4-1EDE-48FA-9AF6-2BBB0D7FCF76,2,0
 70586 East Aruba Way,531298,622BEA64-7B52-4D25-B32B-AFD15B0650AB,3,0
 58766 West Burundi Ct.,515952,D0894F16-12AA-4030-B4DC-E5114B6AC6B4,2,0
 65747 North Saint Pierre and Miquelon St.,296029,213BF3AE-07FD-49BB-AC93-8276925A353E,1,0
 13674  Diamond Bar Ave.,424232,F7E8BB20-14D0-4017-A499-640F2A8BA531,1,1
 32499 South Baytown Ave.,423272,3EF5CCA0-24FD-49F1-B9AB-A8517A9AD9BD,4,0
 231 North Egypt Ln.,92670,5D46ACC8-2D51-4D02-83D9-0A93C80E8881,4,0
 15094 North Philippines Ave.,148429,ED548AC1-09CA-47B2-8072-FE7A04D58171,1,1
 62992 East Dominica Blvd.,410115,3835EAAC-26DE-4FB7-8CB9-BBD861193131,3,0
 33751 East Gardner Way,499450,1D7B78BD-3C97-43B8-8DB7-D1531E7F19F6,2,1
 94942 West Benin Ct.,168472,32E04270-840C-4E36-A58A-201685B9DB2C,4,1
 97572 South Turkey Blvd.,245414,3B4C7089-63EA-4599-A907-DC9D37B0A0A8,2,0
 56321  Brookfield Ct.,877394,67898441-AE9F-4D18-93E7-F9D7DA1B8698,4,1
 11059 East Burkina Faso Blvd.,99013,1DC5034F-ED9D-41AD-A026-7195603602CA,2,0
 27912 North Tajikistan Ct.,408549,81EF0EF3-1E3E-45D3-A435-9913FBADFBC5,4,0
 61422 West Belgium Ln.,397901,240ED83A-F768-47C6-B681-14B6110686B6,5,0
 25846 East Chile Blvd.,799536,A6B3446C-F3C3-44BC-82B3-A6EC5E168494,2,1
 61806 West United States Ave.,485296,36ECB845-99E3-4D73-AB24-BCDF80344973,1,1
 15056 South Norway Way,781150,DF810E9F-689B-4C48-A48C-B068D4F2671F,1,0
 71098 East Hattiesburg Way,817636,54CBE79F-006D-43A2-A008-54EBBB10DF7B,5,0
 75884 East American Samoa Ct.,319577,80F209EE-D914-4D20-B5F9-BD067A1F51FE,2,0
 30788  Solomon Islands Blvd.,372033,DFE4D5D3-C9C7-43BA-BED9-CABEC4B71CC6,1,0
 27897 East Murray St.,770174,2573EAC7-7B8C-4B63-8E2C-1985D2579517,5,0
 60233 East Afghanistan Ave.,726731,A677A5B1-542B-4632-880D-389023DC89CE,1,1
 53940  Armenia Ln.,715495,4198EC53-3AD4-4D0D-97B1-755856FAC64D,4,0
 86655  Grenada St.,797090,1657E59A-3B00-4BD1-96CD-2D26B3B51BEB,3,1
 22553 East Korea Ln.,766618,E3D97754-C2AE-49A8-AE24-3064FA397C4E,5,1
 79963 South Singapore Ln.,733662,0D8A380B-7F66-42CA-9369-E160F5832A37,4,1
 3005 South Eau Claire St.,344886,8D00F3FB-0C2C-428D-BAE6-132A5872E362,4,0
 42827 North Moldova Way,326268,A1EB485D-58EE-4F49-A12B-0196C6EC7986,4,1
 46936 East China Ln.,501511,DA25EFD8-89C7-4E5E-9CF6-B36F3C36E8EB,3,0
 3820 South DeKalb Ln.,556928,9A847C2F-668B-4129-BE9D-A11FC29164E9,3,0
 26284  Ghana Ave.,655148,74DE4D44-E52B-49B7-A284-60834B355646,5,1
 96885 South Albania Ct.,533198,909EDA9B-348E-4ABC-874C-3C2E1EA11DED,3,1
 26247 East Costa Rica Ln.,773614,69BBAE43-FFC5-4B23-8454-BD0ED64D83C6,5,0
 83360 East Madagascar Ave.,656727,5426825E-9BBB-48D2-8F1B-CA600388AEBA,2,1
 62892 West Layton Ln.,611057,3E97B102-9F12-4D31-86DC-A4FF48AEABD7,5,0
 74487 East Bristol Ln.,873833,E13C77CB-8B5C-4D3C-A5F9-F065D75872AA,2,0
 20247 West Cheyenne Way,310621,3C92F6C1-70F1-481C-B6BE-35240ECC3802,1,0
 64007  Ephraim Blvd.,734899,BB3D3AE3-7D26-4B1A-845B-90559AE371EB,3,0
 49889  Saint Kitts and Nevis Ln.,188549,DAAD62A4-3539-4BA4-A3E4-86DE9B68BB8B,3,0
 36417  Canada St.,665662,EABFFAE4-EAA3-4AE2-8727-4DA2590C3686,2,1
 93191  Durant Way,566223,1ED95772-098B-4EE9-A4BE-BB3DC3438981,2,1
 37589 West East Hartford St.,761719,F8256337-0B92-493C-9660-5AE64F2A5542,5,0
 98461 West Brazil Ln.,894969,0B010AB5-FE9F-40BC-BCFF-A64F72336AC6,4,1
 5079 West Hong Kong Ct.,507921,CE0DF846-7E93-41F1-A108-7727CC4AE4F5,5,0
 26114 North Cambodia Ave.,106042,EB36DE75-80C6-4BE9-91FC-782E508206C6,2,0
 32513 North Clearwater Way,111401,7BCBFDEF-03B0-42CB-A532-4DF7F3078D02,4,0
 48452 West Iceland Way,673499,FD379019-825D-4A6E-9F7E-B0514919C929,3,0
 81871 South Kearney Ln.,690940,36A7EB19-9364-4CEC-97D0-BF521DEDD7A8,1,1
 10054 East Dominica Blvd.,752488,FC23583C-DC31-4094-9DEC-B75657DF1279,5,1
 61675  Djibouti Way,390581,BBEEDABE-942A-4F88-B20C-BA2613232207,4,1
 46435 West Gabon Blvd.,148122,94EA9884-C073-40B7-90AF-F87C7B8ED30F,5,1
 72653 North Malaysia Ct.,615571,FC275E2B-2215-4254-9BEF-B382571EC9B2,4,0
 38449 North Burundi Ln.,111839,F898E1E1-5E25-48A8-9CC8-F2F8943EC040,5,1
 18643 West Belarus Way,746276,E6B354CF-0AD8-4521-883C-567A95D40D88,5,1
 73497 South North Tonawanda Ct.,550774,8A9EF939-28EC-4058-9290-BC15B9112263,1,0
 69821  Kuwait Ct.,384156,EE4AF07B-07EF-47A9-AAF6-6B28D40CE7D0,1,1
 42199  Mali St.,891293,48243E51-5DD7-49FC-9742-74405C3E4A29,3,0
 18872 East Jamestown St.,440838,5D82FF06-3255-49C1-B61D-EF3310955E0B,3,0
 20114 West Concord St.,191265,53C4EE32-08C0-4335-9893-E6F5F0CE94B6,3,0
